"dataset","method","classifier","TP_mean","TP_sd","TN_mean","TN_sd","FP_mean","FP_sd","FN_mean","FN_sd","Sensitivity_mean","Sensitivity_sd","Specificity_mean","Specificity_sd","Precision_mean","Precision_sd","F1_mean","F1_sd","Gmean_mean","Gmean_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","MCC_mean","MCC_sd","AUPRC_mean","AUPRC_sd","AUROC_mean","AUROC_sd","runtime_seconds_mean","runtime_seconds_sd","n_train_original_mean","n_train_original_sd","n_train_final_mean","n_train_final_sd"
"attrition","penn","knn",21,0,246.4,0.5,1,0,25.6,0.5,0.450693802035153,0.00485661424606845,0.995957946976623,8.16246571766488e-06,0.954545454545455,0,0.61227621483376,0.00447570332480812,0.669969833807447,0.00360413639597115,0.723325874505888,0.00242558820862305,0.619924186837447,0.00392350543456704,0.763091558034625,0.00291719454883006,0.938378920112883,0.00139556417798125,0.155847225189209,0.00508086550096463,1176,0.912870929175277,1176,0.912870929175277
"attrition","penn","logit",25.6,0.5,240.4,0.5,7,0,21,0,0.549306197964847,0.00485661424606848,0.971705628836359,5.71372600235431e-05,0.785227272727273,0.00331439393939392,0.646410256410256,0.00448717948717953,0.730584684496248,0.00324693647011675,0.760505913400603,0.00244744551060965,0.606015161712932,0.00431666874935398,0.761283191766097,0.00189844052026353,0.895559147476743,0.000776152334342558,0.155847225189209,0.00508086550096463,1176,0.912870929175277,1176,0.912870929175277
"attrition","penn","rf",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.155847225189209,0.00508086550096463,1176,0.912870929175277,1176,0.912870929175277
"attrition","penn","svm_rbf",46.6,0.5,247.4,0.5,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.155847225189209,0.00508086550096463,1176,0.912870929175277,1176,0.912870929175277
"attrition","penn","xgb",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.155847225189209,0.00508086550096463,1176,0.912870929175277,1176,0.912870929175277
"attrition","smote","knn",46.6,0.5,188.52,2.85948713350256,58.88,3.00444115713167,0,0,1,0,0.762012537547342,0.0119797949305731,0.442121108368827,0.0125402922727651,0.613053624450025,0.0120157945072332,0.872907423126046,0.00685931535006201,0.881006268773671,0.00598989746528655,0.580420223152738,0.0127277551007341,0.999382125423066,0.00213852262610842,0.999793238174135,0.000715682164585234,0.0146024036407471,0.00492814337783954,1176,0.912870929175277,1964,1.82574185835055
"attrition","smote","logit",36.6,1.1180339887499,210.44,2.18097837372741,36.96,1.96807858921673,10,1,0.785383903792784,0.021556300088309,0.850600757476819,0.00805573201284642,0.497787224690127,0.0163710473488691,0.609219559804922,0.0163139712641268,0.817260198303882,0.0120799045136459,0.817992330634801,0.0116451092389458,0.536387585544143,0.0203125862901812,0.733695891213177,0.00804436714586921,0.901898496801523,0.0034693646552006,0.0146024036407471,0.00492814337783954,1176,0.912870929175277,1964,1.82574185835055
"attrition","smote","rf",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0146024036407471,0.00492814337783954,1176,0.912870929175277,1964,1.82574185835055
"attrition","smote","svm_rbf",13.24,8.19695065252927,247.4,0.5,0,0,33.36,8.17964954424495,0.284033302497687,0.175145226795026,1,0,1,0,0.417562589695321,0.193198371716592,0.509706594112203,0.158877869814839,0.642016651248844,0.0875726133975131,0.480708450282162,0.157825951462149,0.998607730779114,0.00116289391334241,0.999742751096172,0.000212418629215957,0.0146024036407471,0.00492814337783954,1176,0.912870929175277,1964,1.82574185835055
"attrition","smote","xgb",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0146024036407471,0.00492814337783954,1176,0.912870929175277,1964,1.82574185835055
