"dataset","split","classifier","parameters"
"newthyroid1",8,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",8,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",9,"knn","k=3"
"newthyroid1",9,"logit","dummy=1"
"newthyroid1",9,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",9,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",9,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",10,"knn","k=3"
"newthyroid1",10,"logit","dummy=1"
"newthyroid1",10,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",10,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",10,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",11,"knn","k=3"
"newthyroid1",11,"logit","dummy=1"
"newthyroid1",11,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",11,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",11,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",12,"knn","k=3"
"newthyroid1",12,"logit","dummy=1"
"newthyroid1",12,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",12,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",12,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",13,"knn","k=3"
"newthyroid1",13,"logit","dummy=1"
"newthyroid1",13,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",13,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",13,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",14,"knn","k=3"
"newthyroid1",14,"logit","dummy=1"
"newthyroid1",14,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",14,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",14,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",15,"knn","k=3"
"newthyroid1",15,"logit","dummy=1"
"newthyroid1",15,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",15,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",15,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",16,"knn","k=3"
"newthyroid1",16,"logit","dummy=1"
"newthyroid1",16,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",16,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",16,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",17,"knn","k=3"
"newthyroid1",17,"logit","dummy=1"
"newthyroid1",17,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",17,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",17,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",18,"knn","k=3"
"newthyroid1",18,"logit","dummy=1"
"newthyroid1",18,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",18,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",18,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",19,"knn","k=3"
"newthyroid1",19,"logit","dummy=1"
"newthyroid1",19,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",19,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",19,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",20,"knn","k=3"
"newthyroid1",20,"logit","dummy=1"
"newthyroid1",20,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",20,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",20,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",21,"knn","k=3"
"newthyroid1",21,"logit","dummy=1"
"newthyroid1",21,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",21,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",21,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",22,"knn","k=3"
"newthyroid1",22,"logit","dummy=1"
"newthyroid1",22,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",22,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",22,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",23,"knn","k=3"
"newthyroid1",23,"logit","dummy=1"
"newthyroid1",23,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",23,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",23,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",24,"knn","k=3"
"newthyroid1",24,"logit","dummy=1"
"newthyroid1",24,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",24,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",24,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",25,"knn","k=3"
"newthyroid1",25,"logit","dummy=1"
"newthyroid1",25,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",25,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",25,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",1,"knn","k=3"
"glass0",1,"logit","dummy=1"
"glass0",1,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",1,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",1,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",2,"knn","k=3"
"glass0",2,"logit","dummy=1"
"glass0",2,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",2,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",2,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",3,"knn","k=3"
"glass0",3,"logit","dummy=1"
"glass0",3,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",3,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",3,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",4,"knn","k=3"
"glass0",4,"logit","dummy=1"
"glass0",4,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",4,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",4,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",5,"knn","k=3"
"glass0",5,"logit","dummy=1"
"glass0",5,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",5,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",5,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",6,"knn","k=3"
"glass0",6,"logit","dummy=1"
"glass0",6,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",6,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",6,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",7,"knn","k=3"
"glass0",7,"logit","dummy=1"
"glass0",7,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",7,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
