"dataset","split","classifier","parameters"
"pima",16,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",16,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",17,"knn","k=3"
"pima",17,"logit","dummy=1"
"pima",17,"svm_rbf","cost=10; gamma=1"
"pima",17,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",17,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",18,"knn","k=3"
"pima",18,"logit","dummy=1"
"pima",18,"svm_rbf","cost=10; gamma=1"
"pima",18,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",18,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",19,"knn","k=3"
"pima",19,"logit","dummy=1"
"pima",19,"svm_rbf","cost=10; gamma=1"
"pima",19,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",19,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",20,"knn","k=3"
"pima",20,"logit","dummy=1"
"pima",20,"svm_rbf","cost=10; gamma=1"
"pima",20,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",20,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",21,"knn","k=3"
"pima",21,"logit","dummy=1"
"pima",21,"svm_rbf","cost=10; gamma=1"
"pima",21,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",21,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",22,"knn","k=3"
"pima",22,"logit","dummy=1"
"pima",22,"svm_rbf","cost=10; gamma=1"
"pima",22,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",22,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",23,"knn","k=3"
"pima",23,"logit","dummy=1"
"pima",23,"svm_rbf","cost=10; gamma=1"
"pima",23,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",23,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",24,"knn","k=3"
"pima",24,"logit","dummy=1"
"pima",24,"svm_rbf","cost=10; gamma=1"
"pima",24,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",24,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",25,"knn","k=3"
"pima",25,"logit","dummy=1"
"pima",25,"svm_rbf","cost=10; gamma=1"
"pima",25,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",25,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",1,"knn","k=3"
"glass4",1,"logit","dummy=1"
"glass4",1,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",1,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",1,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",2,"knn","k=3"
"glass4",2,"logit","dummy=1"
"glass4",2,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",2,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",2,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",3,"knn","k=3"
"glass4",3,"logit","dummy=1"
"glass4",3,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",3,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",3,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",4,"knn","k=3"
"glass4",4,"logit","dummy=1"
"glass4",4,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",4,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",4,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",5,"knn","k=3"
"glass4",5,"logit","dummy=1"
"glass4",5,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",5,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",5,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",6,"knn","k=3"
"glass4",6,"logit","dummy=1"
"glass4",6,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",6,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",6,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",7,"knn","k=3"
"glass4",7,"logit","dummy=1"
"glass4",7,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",7,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",7,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",8,"knn","k=3"
"glass4",8,"logit","dummy=1"
"glass4",8,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",8,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",8,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",9,"knn","k=3"
"glass4",9,"logit","dummy=1"
"glass4",9,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",9,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",9,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",10,"knn","k=3"
"glass4",10,"logit","dummy=1"
"glass4",10,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",10,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",10,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",11,"knn","k=3"
"glass4",11,"logit","dummy=1"
"glass4",11,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",11,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",11,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",12,"knn","k=3"
"glass4",12,"logit","dummy=1"
"glass4",12,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",12,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",12,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",13,"knn","k=3"
"glass4",13,"logit","dummy=1"
"glass4",13,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",13,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",13,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",14,"knn","k=3"
"glass4",14,"logit","dummy=1"
"glass4",14,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",14,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",14,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",15,"knn","k=3"
"glass4",15,"logit","dummy=1"
"glass4",15,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",15,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",15,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",16,"knn","k=3"
"glass4",16,"logit","dummy=1"
"glass4",16,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",16,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",16,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",17,"knn","k=3"
"glass4",17,"logit","dummy=1"
"glass4",17,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",17,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",17,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",18,"knn","k=3"
"glass4",18,"logit","dummy=1"
"glass4",18,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",18,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",18,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",19,"knn","k=3"
"glass4",19,"logit","dummy=1"
"glass4",19,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",19,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",19,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",20,"knn","k=3"
"glass4",20,"logit","dummy=1"
"glass4",20,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",20,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",20,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",21,"knn","k=3"
"glass4",21,"logit","dummy=1"
"glass4",21,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",21,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",21,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",22,"knn","k=3"
"glass4",22,"logit","dummy=1"
"glass4",22,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",22,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",22,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",23,"knn","k=3"
"glass4",23,"logit","dummy=1"
"glass4",23,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",23,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",23,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",24,"knn","k=3"
"glass4",24,"logit","dummy=1"
"glass4",24,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",24,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",24,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass4",25,"knn","k=3"
"glass4",25,"logit","dummy=1"
"glass4",25,"svm_rbf","cost=0.1; gamma=0.01"
"glass4",25,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass4",25,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
