"dataset","split","method","classifier","runtime_seconds","n_train_original","n_train_final","TP","TN","FP","FN","Sensitivity","Specificity","Precision","F1","Gmean","BalancedAccuracy","MCC","AUPRC","AUROC"
"attrition",2,"da_smote","svm_rbf",0.0168540477752686,1175,1962,12,248,0,35,0.25531914893617,1,1,0.406779661016949,0.505291152639911,0.627659574468085,0.473014350465379,0.99955205512345,0.999914207275223
"attrition",2,"da_smote","rf",0.0168540477752686,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"da_smote","xgb",0.0168540477752686,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"penn","knn",0.15316891670227,1175,1175,21,247,1,26,0.446808510638298,0.995967741935484,0.954545454545455,0.608695652173913,0.667088347535753,0.721388126286891,0.61683133218343,0.759686643759527,0.936770761839396
"attrition",2,"penn","logit",0.15316891670227,1175,1175,26,241,7,21,0.553191489361702,0.971774193548387,0.787878787878788,0.65,0.733196572177134,0.762482841455045,0.609534185968145,0.762596292866375,0.896019217570352
"attrition",2,"penn","svm_rbf",0.15316891670227,1175,1175,47,248,0,0,1,1,1,1,1,1,1,1,1
"attrition",2,"penn","rf",0.15316891670227,1175,1175,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"penn","xgb",0.15316891670227,1175,1175,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"ld_smote","knn",0.0155107975006104,1175,1962,47,168,80,0,1,0.67741935483871,0.37007874015748,0.540229885057471,0.823054891753102,0.838709677419355,0.500698014173217,1,1
"attrition",2,"ld_smote","logit",0.0155107975006104,1175,1962,35,213,35,12,0.74468085106383,0.858870967741935,0.5,0.598290598290598,0.799740434898774,0.801775909402883,0.519217179094235,0.720476227818188,0.894732326698698
"attrition",2,"ld_smote","svm_rbf",0.0155107975006104,1175,1962,15,248,0,32,0.319148936170213,1,1,0.483870967741936,0.564932682866032,0.659574468085106,0.531671676917695,0.946250943594601,0.989876458476321
"attrition",2,"ld_smote","rf",0.0155107975006104,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"ld_smote","xgb",0.0155107975006104,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"da_smote_penn","knn",0.345274209976196,1175,1845,47,180,68,0,1,0.725806451612903,0.408695652173913,0.580246913580247,0.851942751370597,0.862903225806452,0.544641112195884,0.602564102564103,0.9375
"attrition",2,"da_smote_penn","logit",0.345274209976196,1175,1845,37,200,48,10,0.787234042553192,0.806451612903226,0.435294117647059,0.560606060606061,0.796784891516743,0.796842827728209,0.479746941682479,0.698674495292596,0.895761839396021
"attrition",2,"da_smote_penn","svm_rbf",0.345274209976196,1175,1845,46,248,0,1,0.978723404255319,1,1,0.989247311827957,0.989304505324483,0.98936170212766,0.987315951544374,1,1
"attrition",2,"da_smote_penn","rf",0.345274209976196,1175,1845,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"da_smote_penn","xgb",0.345274209976196,1175,1845,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",3,"baseline","knn",3.69548797607422e-05,1176,1176,21,246,1,26,0.446808510638298,0.995951417004049,0.954545454545455,0.608695652173913,0.667082880382701,0.721379963821173,0.616694281020663,0.764149529679789,0.938754414678267
"attrition",3,"baseline","logit",3.69548797607422e-05,1176,1176,26,240,7,21,0.553191489361702,0.97165991902834,0.787878787878788,0.65,0.733153461261937,0.762425704195021,0.609335595378486,0.763182932882558,0.896459643380135
"attrition",3,"baseline","svm_rbf",3.69548797607422e-05,1176,1176,47,247,0,0,1,1,1,1,1,1,1,1,1
"attrition",3,"baseline","rf",3.69548797607422e-05,1176,1176,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"baseline","xgb",3.69548797607422e-05,1176,1176,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"smote","knn",0.013422966003418,1176,1964,47,189,58,0,1,0.765182186234818,0.447619047619048,0.618421052631579,0.874746926965061,0.882591093117409,0.58524364281681,1,1
"attrition",3,"smote","logit",0.013422966003418,1176,1964,36,212,35,11,0.765957446808511,0.8582995951417,0.507042253521127,0.610169491525424,0.810815001397677,0.812128520975105,0.534538819048003,0.731943531269536,0.902834008097166
"attrition",3,"smote","svm_rbf",0.013422966003418,1176,1964,11,247,0,36,0.234042553191489,1,1,0.379310344827586,0.483779446846897,0.617021276595745,0.451962781224693,0.997659555420972,0.999569299681282
"attrition",3,"smote","rf",0.013422966003418,1176,1964,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"smote","xgb",0.013422966003418,1176,1964,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"adasyn","knn",0.0390141010284424,1176,1964,47,188,59,0,1,0.761133603238866,0.443396226415094,0.61437908496732,0.872429712491996,0.880566801619433,0.580933531029013,1,1
"attrition",3,"adasyn","logit",0.0390141010284424,1176,1964,35,207,40,12,0.74468085106383,0.838056680161943,0.466666666666667,0.573770491803279,0.789990355525132,0.791368765612886,0.489911581420448,0.716499871788451,0.897837884400036
"attrition",3,"adasyn","svm_rbf",0.0390141010284424,1176,1964,17,247,0,30,0.361702127659574,1,1,0.53125,0.601416767025641,0.680851063829787,0.567916025507798,1,1
"attrition",3,"adasyn","rf",0.0390141010284424,1176,1964,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"adasyn","xgb",0.0390141010284424,1176,1964,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"borderline_smote","knn",0.0381910800933838,1176,1964,44,198,49,3,0.936170212765957,0.801619433198381,0.473118279569892,0.628571428571429,0.866286462629224,0.868894822982169,0.581420658579024,0.939421546474988,0.974157980876906
"attrition",3,"borderline_smote","logit",0.0381910800933838,1176,1964,35,220,27,12,0.74468085106383,0.890688259109312,0.564516129032258,0.642201834862385,0.814419112512767,0.817684555086571,0.570799606770973,0.727594903708379,0.891980360065465
"attrition",3,"borderline_smote","svm_rbf",0.0381910800933838,1176,1964,16,247,0,31,0.340425531914894,1,1,0.507936507936508,0.583459965991578,0.670212765957447,0.549967645820701,0.992334435682508,0.998535618916358
"attrition",3,"borderline_smote","rf",0.0381910800933838,1176,1964,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"borderline_smote","xgb",0.0381910800933838,1176,1964,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"smote_tomek","knn",0.254485130310059,1176,1964,47,190,57,0,1,0.769230769230769,0.451923076923077,0.622516556291391,0.877058019307029,0.884615384615385,0.589604219875227,1,1
"attrition",3,"smote_tomek","logit",0.254485130310059,1176,1964,37,212,35,10,0.787234042553192,0.8582995951417,0.513888888888889,0.621848739495798,0.821999184917582,0.822766818847446,0.55014041119279,0.737731800817171,0.900422086312345
"attrition",3,"smote_tomek","svm_rbf",0.254485130310059,1176,1964,10,247,0,37,0.212765957446809,1,1,0.350877192982456,0.461265604014443,0.606382978723404,0.430170255719992,0.999094476288962,0.999827719872513
