"dataset","alpha","beta","k_smote","k_enn","primary_metric"
"credit_data",0.75,0.2,5,3,0.712192802505572
"credit_data",0.75,0.2,5,5,0.728604606415017
"credit_data",0.75,0.2,5,7,0.716124398640588
"credit_data",0.75,0.2,7,3,0.711677348781467
"credit_data",0.75,0.2,7,5,0.729363268441507
"credit_data",0.75,0.2,7,7,0.716277522403058
"credit_data",0.75,0.25,3,3,0.70839106737551
"credit_data",0.75,0.25,3,5,0.723770352544896
"credit_data",0.75,0.25,3,7,0.707973442023449
"credit_data",0.75,0.25,5,3,0.717801289069875
"credit_data",0.75,0.25,5,5,0.727219485211962
"credit_data",0.75,0.25,5,7,0.71181467861382
"credit_data",0.75,0.25,7,3,0.712097532594851
"credit_data",0.75,0.25,7,5,0.730613759946113
"credit_data",0.75,0.25,7,7,0.716962323121028
"credit_data",1,0,3,3,0.694968252206282
"credit_data",1,0,3,5,0.710266337777803
"credit_data",1,0,3,7,0.677489361249895
"credit_data",1,0,5,3,0.697064682294949
"credit_data",1,0,5,5,0.707175022058418
"credit_data",1,0,5,7,0.682781117328199
"credit_data",1,0,7,3,0.693453080970489
"credit_data",1,0,7,5,0.712978018004576
"credit_data",1,0,7,7,0.680411341661574
"credit_data",1,0.05,3,3,0.695242474864295
"credit_data",1,0.05,3,5,0.707203647787474
"credit_data",1,0.05,3,7,0.675598552293928
"credit_data",1,0.05,5,3,0.698675542720736
"credit_data",1,0.05,5,5,0.715320968961732
"credit_data",1,0.05,5,7,0.678375274069459
"credit_data",1,0.05,7,3,0.693562972697521
"credit_data",1,0.05,7,5,0.715756862750954
"credit_data",1,0.05,7,7,0.686983273988155
"credit_data",1,0.1,3,3,0.692958311890124
"credit_data",1,0.1,3,5,0.704038113873084
"credit_data",1,0.1,3,7,0.678547472111052
"credit_data",1,0.1,5,3,0.694923089658951
"credit_data",1,0.1,5,5,0.710374785807693
"credit_data",1,0.1,5,7,0.686303434476565
"credit_data",1,0.1,7,3,0.699116801772831
"credit_data",1,0.1,7,5,0.713013419436718
"credit_data",1,0.1,7,7,0.684510904701233
"credit_data",1,0.15,3,3,0.698538043666898
"credit_data",1,0.15,3,5,0.708632638047976
"credit_data",1,0.15,3,7,0.673632344789188
"credit_data",1,0.15,5,3,0.699495391801734
"credit_data",1,0.15,5,5,0.712005153193874
"credit_data",1,0.15,5,7,0.683851544925889
"credit_data",1,0.15,7,3,0.695113477129721
"credit_data",1,0.15,7,5,0.717418356973249
"credit_data",1,0.15,7,7,0.680818878722398
"credit_data",1,0.2,3,3,0.693021364959795
"credit_data",1,0.2,3,5,0.712491413338387
"credit_data",1,0.2,3,7,0.679587633755209
"credit_data",1,0.2,5,3,0.695984987129654
"credit_data",1,0.2,5,5,0.712823116920782
"credit_data",1,0.2,5,7,0.682513066360566
"credit_data",1,0.2,7,3,0.698648194145906
"credit_data",1,0.2,7,5,0.71053937167775
"credit_data",1,0.2,7,7,0.683717037483961
"credit_data",1,0.25,3,3,0.694268147539309
"credit_data",1,0.25,3,5,0.71029863414385
"credit_data",1,0.25,3,7,0.677646305015335
"credit_data",1,0.25,5,3,0.700762159911472
"credit_data",1,0.25,5,5,0.711005722175747
"credit_data",1,0.25,5,7,0.684329546586242
"credit_data",1,0.25,7,3,0.698681219237019
"credit_data",1,0.25,7,5,0.712426447394638
"credit_data",1,0.25,7,7,0.682971116543766
"newthyroid1",0.25,0,3,3,1
"newthyroid1",0.25,0,3,5,1
"newthyroid1",0.25,0,3,7,1
"newthyroid1",0.25,0,5,3,1
"newthyroid1",0.25,0,5,5,1
"newthyroid1",0.25,0,5,7,1
"newthyroid1",0.25,0,7,3,1
"newthyroid1",0.25,0,7,5,1
"newthyroid1",0.25,0,7,7,1
"newthyroid1",0.25,0.05,3,3,1
"newthyroid1",0.25,0.05,3,5,1
"newthyroid1",0.25,0.05,3,7,1
"newthyroid1",0.25,0.05,5,3,1
"newthyroid1",0.25,0.05,5,5,1
"newthyroid1",0.25,0.05,5,7,1
"newthyroid1",0.25,0.05,7,3,1
"newthyroid1",0.25,0.05,7,5,1
"newthyroid1",0.25,0.05,7,7,1
"newthyroid1",0.25,0.1,3,3,1
"newthyroid1",0.25,0.1,3,5,1
"newthyroid1",0.25,0.1,3,7,1
"newthyroid1",0.25,0.1,5,3,1
"newthyroid1",0.25,0.1,5,5,1
"newthyroid1",0.25,0.1,5,7,1
"newthyroid1",0.25,0.1,7,3,1
"newthyroid1",0.25,0.1,7,5,1
"newthyroid1",0.25,0.1,7,7,1
"newthyroid1",0.25,0.15,3,3,1
"newthyroid1",0.25,0.15,3,5,1
"newthyroid1",0.25,0.15,3,7,1
"newthyroid1",0.25,0.15,5,3,1
"newthyroid1",0.25,0.15,5,5,1
"newthyroid1",0.25,0.15,5,7,1
"newthyroid1",0.25,0.15,7,3,1
"newthyroid1",0.25,0.15,7,5,1
"newthyroid1",0.25,0.15,7,7,1
"newthyroid1",0.25,0.2,3,3,1
"newthyroid1",0.25,0.2,3,5,1
"newthyroid1",0.25,0.2,3,7,1
"newthyroid1",0.25,0.2,5,3,1
"newthyroid1",0.25,0.2,5,5,1
"newthyroid1",0.25,0.2,5,7,1
"newthyroid1",0.25,0.2,7,3,1
"newthyroid1",0.25,0.2,7,5,1
"newthyroid1",0.25,0.2,7,7,1
"newthyroid1",0.25,0.25,3,3,1
"newthyroid1",0.25,0.25,3,5,1
"newthyroid1",0.25,0.25,3,7,1
"newthyroid1",0.25,0.25,5,3,1
"newthyroid1",0.25,0.25,5,5,1
"newthyroid1",0.25,0.25,5,7,1
"newthyroid1",0.25,0.25,7,3,1
"newthyroid1",0.25,0.25,7,5,1
"newthyroid1",0.25,0.25,7,7,1
"newthyroid1",0.5,0,3,3,1
"newthyroid1",0.5,0,3,5,1
"newthyroid1",0.5,0,3,7,1
"newthyroid1",0.5,0,5,3,1
"newthyroid1",0.5,0,5,5,1
"newthyroid1",0.5,0,5,7,1
"newthyroid1",0.5,0,7,3,1
"newthyroid1",0.5,0,7,5,1
"newthyroid1",0.5,0,7,7,1
"newthyroid1",0.5,0.05,3,3,1
"newthyroid1",0.5,0.05,3,5,1
"newthyroid1",0.5,0.05,3,7,1
"newthyroid1",0.5,0.05,5,3,1
"newthyroid1",0.5,0.05,5,5,1
"newthyroid1",0.5,0.05,5,7,1
"newthyroid1",0.5,0.05,7,3,1
"newthyroid1",0.5,0.05,7,5,1
"newthyroid1",0.5,0.05,7,7,1
"newthyroid1",0.5,0.1,3,3,1
"newthyroid1",0.5,0.1,3,5,1
"newthyroid1",0.5,0.1,3,7,1
"newthyroid1",0.5,0.1,5,3,1
"newthyroid1",0.5,0.1,5,5,1
"newthyroid1",0.5,0.1,5,7,1
"newthyroid1",0.5,0.1,7,3,1
"newthyroid1",0.5,0.1,7,5,1
"newthyroid1",0.5,0.1,7,7,1
"newthyroid1",0.5,0.15,3,3,1
"newthyroid1",0.5,0.15,3,5,1
"newthyroid1",0.5,0.15,3,7,1
"newthyroid1",0.5,0.15,5,3,1
"newthyroid1",0.5,0.15,5,5,1
"newthyroid1",0.5,0.15,5,7,1
"newthyroid1",0.5,0.15,7,3,1
"newthyroid1",0.5,0.15,7,5,1
"newthyroid1",0.5,0.15,7,7,1
"newthyroid1",0.5,0.2,3,3,1
"newthyroid1",0.5,0.2,3,5,1
"newthyroid1",0.5,0.2,3,7,1
"newthyroid1",0.5,0.2,5,3,1
"newthyroid1",0.5,0.2,5,5,1
"newthyroid1",0.5,0.2,5,7,1
"newthyroid1",0.5,0.2,7,3,1
"newthyroid1",0.5,0.2,7,5,1
"newthyroid1",0.5,0.2,7,7,1
"newthyroid1",0.5,0.25,3,3,1
"newthyroid1",0.5,0.25,3,5,1
"newthyroid1",0.5,0.25,3,7,1
"newthyroid1",0.5,0.25,5,3,1
"newthyroid1",0.5,0.25,5,5,1
"newthyroid1",0.5,0.25,5,7,1
"newthyroid1",0.5,0.25,7,3,1
"newthyroid1",0.5,0.25,7,5,1
"newthyroid1",0.5,0.25,7,7,1
"newthyroid1",0.75,0,3,3,1
"newthyroid1",0.75,0,3,5,1
"newthyroid1",0.75,0,3,7,1
"newthyroid1",0.75,0,5,3,1
"newthyroid1",0.75,0,5,5,1
"newthyroid1",0.75,0,5,7,1
"newthyroid1",0.75,0,7,3,1
"newthyroid1",0.75,0,7,5,1
"newthyroid1",0.75,0,7,7,1
"newthyroid1",0.75,0.05,3,3,1
"newthyroid1",0.75,0.05,3,5,1
"newthyroid1",0.75,0.05,3,7,1
"newthyroid1",0.75,0.05,5,3,1
"newthyroid1",0.75,0.05,5,5,1
"newthyroid1",0.75,0.05,5,7,1
"newthyroid1",0.75,0.05,7,3,1
"newthyroid1",0.75,0.05,7,5,1
"newthyroid1",0.75,0.05,7,7,1
"newthyroid1",0.75,0.1,3,3,1
"newthyroid1",0.75,0.1,3,5,1
"newthyroid1",0.75,0.1,3,7,1
"newthyroid1",0.75,0.1,5,3,1
"newthyroid1",0.75,0.1,5,5,1
"newthyroid1",0.75,0.1,5,7,1
"newthyroid1",0.75,0.1,7,3,1
"newthyroid1",0.75,0.1,7,5,1
"newthyroid1",0.75,0.1,7,7,1
"newthyroid1",0.75,0.15,3,3,1
"newthyroid1",0.75,0.15,3,5,1
"newthyroid1",0.75,0.15,3,7,1
"newthyroid1",0.75,0.15,5,3,1
"newthyroid1",0.75,0.15,5,5,1
"newthyroid1",0.75,0.15,5,7,1
"newthyroid1",0.75,0.15,7,3,1
"newthyroid1",0.75,0.15,7,5,1
"newthyroid1",0.75,0.15,7,7,1
"newthyroid1",0.75,0.2,3,3,1
"newthyroid1",0.75,0.2,3,5,1
"newthyroid1",0.75,0.2,3,7,1
"newthyroid1",0.75,0.2,5,3,1
"newthyroid1",0.75,0.2,5,5,1
"newthyroid1",0.75,0.2,5,7,1
