"dataset","classifier","method","metric_value","rank"
"glass4","svm_rbf","penn",NA,7
"glass4","svm_rbf","smote",NA,8
"glass4","svm_rbf","smote_enn",NA,9
"glass4","svm_rbf","smote_tomek",NA,10
"glass4","xgb","adasyn",NA,1
"glass4","xgb","baseline",NA,2
"glass4","xgb","borderline_smote",NA,3
"glass4","xgb","da_smote",NA,4
"glass4","xgb","da_smote_penn",NA,5
"glass4","xgb","ld_smote",NA,6
"glass4","xgb","penn",NA,7
"glass4","xgb","smote",NA,8
"glass4","xgb","smote_enn",NA,9
"glass4","xgb","smote_tomek",NA,10
"hacide","knn","adasyn",NA,1
"hacide","knn","baseline",NA,2
"hacide","knn","borderline_smote",NA,3
"hacide","knn","da_smote",NA,4
"hacide","knn","da_smote_penn",NA,5
"hacide","knn","ld_smote",NA,6
"hacide","knn","penn",NA,7
"hacide","knn","smote",NA,8
"hacide","knn","smote_enn",NA,9
"hacide","knn","smote_tomek",NA,10
"hacide","logit","adasyn",NA,1
"hacide","logit","baseline",NA,2
"hacide","logit","borderline_smote",NA,3
"hacide","logit","da_smote",NA,4
"hacide","logit","da_smote_penn",NA,5
"hacide","logit","ld_smote",NA,6
"hacide","logit","penn",NA,7
"hacide","logit","smote",NA,8
"hacide","logit","smote_enn",NA,9
"hacide","logit","smote_tomek",NA,10
"hacide","rf","adasyn",NA,1
"hacide","rf","baseline",NA,2
"hacide","rf","borderline_smote",NA,3
"hacide","rf","da_smote",NA,4
"hacide","rf","da_smote_penn",NA,5
"hacide","rf","ld_smote",NA,6
"hacide","rf","penn",NA,7
"hacide","rf","smote",NA,8
"hacide","rf","smote_enn",NA,9
"hacide","rf","smote_tomek",NA,10
"hacide","svm_rbf","adasyn",NA,1
"hacide","svm_rbf","baseline",NA,2
"hacide","svm_rbf","borderline_smote",NA,3
"hacide","svm_rbf","da_smote",NA,4
"hacide","svm_rbf","da_smote_penn",NA,5
"hacide","svm_rbf","ld_smote",NA,6
"hacide","svm_rbf","penn",NA,7
"hacide","svm_rbf","smote",NA,8
"hacide","svm_rbf","smote_enn",NA,9
"hacide","svm_rbf","smote_tomek",NA,10
"hacide","xgb","adasyn",NA,1
"hacide","xgb","baseline",NA,2
"hacide","xgb","borderline_smote",NA,3
"hacide","xgb","da_smote",NA,4
"hacide","xgb","da_smote_penn",NA,5
"hacide","xgb","ld_smote",NA,6
"hacide","xgb","penn",NA,7
"hacide","xgb","smote",NA,8
"hacide","xgb","smote_enn",NA,9
"hacide","xgb","smote_tomek",NA,10
"newthyroid1","knn","adasyn",1,5.5
"newthyroid1","knn","baseline",1,5.5
"newthyroid1","knn","borderline_smote",1,5.5
"newthyroid1","knn","da_smote",1,5.5
"newthyroid1","knn","da_smote_penn",1,5.5
"newthyroid1","knn","ld_smote",1,5.5
"newthyroid1","knn","penn",1,5.5
"newthyroid1","knn","smote",1,5.5
"newthyroid1","knn","smote_enn",1,5.5
"newthyroid1","knn","smote_tomek",1,5.5
"newthyroid1","logit","adasyn",1,4.5
"newthyroid1","logit","baseline",1,4.5
"newthyroid1","logit","borderline_smote",1,4.5
"newthyroid1","logit","da_smote",0.986666666666667,10
"newthyroid1","logit","da_smote_penn",0.996666666666667,9
"newthyroid1","logit","ld_smote",1,4.5
"newthyroid1","logit","penn",1,4.5
"newthyroid1","logit","smote",1,4.5
"newthyroid1","logit","smote_enn",1,4.5
"newthyroid1","logit","smote_tomek",1,4.5
"newthyroid1","rf","adasyn",1,5.5
"newthyroid1","rf","baseline",1,5.5
"newthyroid1","rf","borderline_smote",1,5.5
"newthyroid1","rf","da_smote",1,5.5
"newthyroid1","rf","da_smote_penn",1,5.5
"newthyroid1","rf","ld_smote",1,5.5
"newthyroid1","rf","penn",1,5.5
"newthyroid1","rf","smote",1,5.5
"newthyroid1","rf","smote_enn",1,5.5
"newthyroid1","rf","smote_tomek",1,5.5
"newthyroid1","svm_rbf","adasyn",1,5.5
"newthyroid1","svm_rbf","baseline",1,5.5
"newthyroid1","svm_rbf","borderline_smote",1,5.5
"newthyroid1","svm_rbf","da_smote",1,5.5
"newthyroid1","svm_rbf","da_smote_penn",1,5.5
"newthyroid1","svm_rbf","ld_smote",1,5.5
"newthyroid1","svm_rbf","penn",1,5.5
"newthyroid1","svm_rbf","smote",1,5.5
"newthyroid1","svm_rbf","smote_enn",1,5.5
"newthyroid1","svm_rbf","smote_tomek",1,5.5
"newthyroid1","xgb","adasyn",0.255813953488372,5.5
"newthyroid1","xgb","baseline",0.255813953488372,5.5
"newthyroid1","xgb","borderline_smote",0.255813953488372,5.5
"newthyroid1","xgb","da_smote",0.255813953488372,5.5
"newthyroid1","xgb","da_smote_penn",0.255813953488372,5.5
"newthyroid1","xgb","ld_smote",0.255813953488372,5.5
"newthyroid1","xgb","penn",0.255813953488372,5.5
"newthyroid1","xgb","smote",0.255813953488372,5.5
"newthyroid1","xgb","smote_enn",0.255813953488372,5.5
"newthyroid1","xgb","smote_tomek",0.255813953488372,5.5
"pima","knn","adasyn",0.950700895633193,1
"pima","knn","baseline",0.861878056378534,7
"pima","knn","borderline_smote",0.93010775854133,4
"pima","knn","da_smote",0.930598650335316,3
"pima","knn","da_smote_penn",0.834437650254269,9
"pima","knn","ld_smote",0.913646388806509,5
"pima","knn","penn",0.837856159833656,8
"pima","knn","smote",0.936148590024654,2
"pima","knn","smote_enn",0.693859026377007,10
"pima","knn","smote_tomek",0.896013184261216,6
"pima","logit","adasyn",0.728411183015497,4
"pima","logit","baseline",0.728582395542288,3
"pima","logit","borderline_smote",0.727538346487347,6
"pima","logit","da_smote",0.729119818430846,2
"pima","logit","da_smote_penn",0.719344248518217,9
"pima","logit","ld_smote",0.727374905657918,7
"pima","logit","penn",0.729972984481018,1
"pima","logit","smote",0.727329731924064,8
"pima","logit","smote_enn",0.703885246231366,10
"pima","logit","smote_tomek",0.727730912030767,5
"pima","rf","adasyn",1,3.5
"pima","rf","baseline",1,3.5
"pima","rf","borderline_smote",1,3.5
"pima","rf","da_smote",1,3.5
"pima","rf","da_smote_penn",0.99029392890439,9
"pima","rf","ld_smote",1,3.5
"pima","rf","penn",0.999255774860751,7
"pima","rf","smote",1,3.5
"pima","rf","smote_enn",0.859901084857268,10
"pima","rf","smote_tomek",0.993980595304529,8
"pima","svm_rbf","adasyn",1,4
"pima","svm_rbf","baseline",1,4
"pima","svm_rbf","borderline_smote",1,4
"pima","svm_rbf","da_smote",1,4
"pima","svm_rbf","da_smote_penn",0.968108581601922,9
"pima","svm_rbf","ld_smote",1,4
"pima","svm_rbf","penn",1,4
"pima","svm_rbf","smote",1,4
"pima","svm_rbf","smote_enn",0.923731173896785,10
"pima","svm_rbf","smote_tomek",0.982930645616743,8
"pima","xgb","adasyn",0.351566080977846,5.5
"pima","xgb","baseline",0.351566080977846,5.5
"pima","xgb","borderline_smote",0.351566080977846,5.5
"pima","xgb","da_smote",0.351566080977846,5.5
"pima","xgb","da_smote_penn",0.351566080977846,5.5
"pima","xgb","ld_smote",0.351566080977846,5.5
"pima","xgb","penn",0.351566080977846,5.5
"pima","xgb","smote",0.351566080977846,5.5
"pima","xgb","smote_enn",0.351566080977846,5.5
"pima","xgb","smote_tomek",0.351566080977846,5.5
"vehicle2","knn","adasyn",0.987579863702244,1
"vehicle2","knn","baseline",0.809895680648608,7
"vehicle2","knn","borderline_smote",0.982166358986178,3
"vehicle2","knn","da_smote",0.984249567402664,2
"vehicle2","knn","da_smote_penn",0.76946197767917,8
"vehicle2","knn","ld_smote",0.970381772022354,5
"vehicle2","knn","penn",0.749279459273176,9
"vehicle2","knn","smote",0.9789435688467,4
"vehicle2","knn","smote_enn",0.580471719426844,10
"vehicle2","knn","smote_tomek",0.965294822735406,6
"vehicle2","logit","adasyn",0.551176040704832,9
"vehicle2","logit","baseline",0.574134270630034,1
"vehicle2","logit","borderline_smote",0.558240444748312,6
"vehicle2","logit","da_smote",0.558081405795861,7
"vehicle2","logit","da_smote_penn",0.553249901653314,8
"vehicle2","logit","ld_smote",0.563458233526065,4
"vehicle2","logit","penn",0.573523943775199,2
"vehicle2","logit","smote",0.564018253087203,3
"vehicle2","logit","smote_enn",0.546509215185587,10
"vehicle2","logit","smote_tomek",0.561246484007894,5
"vehicle2","rf","adasyn",1,3.5
"vehicle2","rf","baseline",1,3.5
"vehicle2","rf","borderline_smote",1,3.5
"vehicle2","rf","da_smote",1,3.5
"vehicle2","rf","da_smote_penn",0.982050590107434,9
"vehicle2","rf","ld_smote",1,3.5
"vehicle2","rf","penn",0.991663484864947,8
"vehicle2","rf","smote",1,3.5
"vehicle2","rf","smote_enn",0.880025689278161,10
"vehicle2","rf","smote_tomek",0.998901354478598,7
"vehicle2","svm_rbf","adasyn",0.971054666095077,4
"vehicle2","svm_rbf","baseline",1,1
"vehicle2","svm_rbf","borderline_smote",0.966160796200688,6
"vehicle2","svm_rbf","da_smote",0.971479873074392,3
"vehicle2","svm_rbf","da_smote_penn",0.957618802907012,9
"vehicle2","svm_rbf","ld_smote",0.936942792936289,10
"vehicle2","svm_rbf","penn",0.995896760975278,2
"vehicle2","svm_rbf","smote",0.96570054863677,8
"vehicle2","svm_rbf","smote_enn",0.966083941314196,7
"vehicle2","svm_rbf","smote_tomek",0.966595911738999,5
"vehicle2","xgb","adasyn",0.224590688346344,5.5
"vehicle2","xgb","baseline",0.224590688346344,5.5
"vehicle2","xgb","borderline_smote",0.224590688346344,5.5
"vehicle2","xgb","da_smote",0.224590688346344,5.5
"vehicle2","xgb","da_smote_penn",0.224590688346344,5.5
"vehicle2","xgb","ld_smote",0.224590688346344,5.5
"vehicle2","xgb","penn",0.224590688346344,5.5
"vehicle2","xgb","smote",0.224590688346344,5.5
"vehicle2","xgb","smote_enn",0.224590688346344,5.5
"vehicle2","xgb","smote_tomek",0.224590688346344,5.5
