"imbalance_ratio","replication","split","method","classifier","runtime_seconds","TP","TN","FP","FN","Sensitivity","Specificity","Precision","F1","Gmean","BalancedAccuracy","MCC","AUPRC","AUROC"
"5:995",4,2,"adasyn","knn",0.00619411468505859,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,2,"borderline_smote","knn",0.0061490535736084,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,2,"smote_tomek","knn",0.0143160820007324,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,0.666666666666667,0.997474747474747
"5:995",4,2,"smote_enn","knn",0.0142490863800049,2,184,14,0,1,0.929292929292929,0.125,0.222222222222222,0.963998407308295,0.964646464646465,0.340824905430363,0.153846153846154,0.972222222222222
"5:995",4,2,"da_smote","knn",0.00584602355957031,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,2,"penn","knn",0.00379085540771484,0,198,0,2,0,1,NA,NA,0,0.5,NA,1,1
"5:995",4,2,"ld_smote","knn",0.00740694999694824,1,191,7,1,0.5,0.964646464646465,0.125,0.2,0.694494947658536,0.732323232323232,0.235925357710388,0.574316861486479,0.978535353535354
"5:995",4,2,"da_smote_penn","knn",0.0129330158233643,2,189,9,0,1,0.954545454545455,0.181818181818182,0.307692307692308,0.977008420918394,0.977272727272727,0.416597790450531,0.222222222222222,0.982323232323232
"5:995",4,3,"baseline","knn",1.62124633789062e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,1,1
"5:995",4,3,"smote","knn",0.00585699081420898,2,190,8,0,1,0.95959595959596,0.2,0.333333333333333,0.979589689408764,0.97979797979798,0.438085827115181,1,1
"5:995",4,3,"adasyn","knn",0.00607800483703613,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,3,"borderline_smote","knn",0.00604414939880371,2,190,8,0,1,0.95959595959596,0.2,0.333333333333333,0.979589689408764,0.97979797979798,0.438085827115181,1,1
"5:995",4,3,"smote_tomek","knn",0.01419997215271,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,0.666666666666667,0.997474747474747
"5:995",4,3,"smote_enn","knn",0.0142719745635986,2,184,14,0,1,0.929292929292929,0.125,0.222222222222222,0.963998407308295,0.964646464646465,0.340824905430363,0.153846153846154,0.972222222222222
"5:995",4,3,"da_smote","knn",0.00585603713989258,2,190,8,0,1,0.95959595959596,0.2,0.333333333333333,0.979589689408764,0.97979797979798,0.438085827115181,1,1
"5:995",4,3,"penn","knn",0.00378012657165527,0,198,0,2,0,1,NA,NA,0,0.5,NA,1,1
"5:995",4,3,"ld_smote","knn",0.00747895240783691,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,3,"da_smote_penn","knn",0.0128159523010254,2,189,9,0,1,0.954545454545455,0.181818181818182,0.307692307692308,0.977008420918394,0.977272727272727,0.416597790450531,0.222222222222222,0.982323232323232
"5:995",4,4,"baseline","knn",1.59740447998047e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,1,1
"5:995",4,4,"smote","knn",0.00588321685791016,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,4,"adasyn","knn",0.00606513023376465,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,4,"borderline_smote","knn",0.00606608390808105,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,4,"smote_tomek","knn",0.0141730308532715,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,0.5,0.994949494949495
"5:995",4,4,"smote_enn","knn",0.0143449306488037,2,184,14,0,1,0.929292929292929,0.125,0.222222222222222,0.963998407308295,0.964646464646465,0.340824905430363,0.153846153846154,0.972222222222222
"5:995",4,4,"da_smote","knn",0.00581717491149902,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,4,"penn","knn",0.00377798080444336,0,198,0,2,0,1,NA,NA,0,0.5,NA,1,1
"5:995",4,4,"ld_smote","knn",0.00751996040344238,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,0.222222222222222,0.982323232323232
"5:995",4,4,"da_smote_penn","knn",0.0127880573272705,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,0.222222222222222,0.982323232323232
"5:995",4,5,"baseline","knn",1.69277191162109e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,1,1
"5:995",4,5,"smote","knn",0.0057671070098877,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,5,"adasyn","knn",0.00606012344360352,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,5,"borderline_smote","knn",0.00606608390808105,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,5,"smote_tomek","knn",0.0141968727111816,2,190,8,0,1,0.95959595959596,0.2,0.333333333333333,0.979589689408764,0.97979797979798,0.438085827115181,0.666666666666667,0.997474747474747
"5:995",4,5,"smote_enn","knn",0.0142209529876709,2,184,14,0,1,0.929292929292929,0.125,0.222222222222222,0.963998407308295,0.964646464646465,0.340824905430363,0.153846153846154,0.972222222222222
"5:995",4,5,"da_smote","knn",0.00585293769836426,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,5,"penn","knn",0.00376510620117188,0,198,0,2,0,1,NA,NA,0,0.5,NA,1,1
"5:995",4,5,"ld_smote","knn",0.00744414329528809,2,190,8,0,1,0.95959595959596,0.2,0.333333333333333,0.979589689408764,0.97979797979798,0.438085827115181,1,1
"5:995",4,5,"da_smote_penn","knn",0.0128178596496582,2,190,8,0,1,0.95959595959596,0.2,0.333333333333333,0.979589689408764,0.97979797979798,0.438085827115181,0.25,0.984848484848485
"5:995",5,1,"baseline","knn",1.59740447998047e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"5:995",5,1,"smote","knn",0.00572991371154785,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,1,"adasyn","knn",0.00613093376159668,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,1,"borderline_smote","knn",0.00612092018127441,1,199,0,0,1,1,1,1,1,1,1,1,1
"5:995",5,1,"smote_tomek","knn",0.0141758918762207,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,0.5,0.99748743718593
